,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Lord Pumpkin Pussy Pie,spotify:artist:1jyf3dWVESbRyjNAiz02Xp,Diamond - Plankton Version,spotify:track:5y4nBz6OQwQfsaD9UBigHQ,229899,False,Diamond (Plankton Version),0
1,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Bahm Bahm,spotify:track:2KlV6iKhmazNS84fykYBfC,141686,True,Pink Friday 2 (Gag City Deluxe),42
2,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,mirrorball,spotify:track:0ZNU020wNYvgW84iljPkPP,208977,False,folklore,75
3,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Everybody (feat. Lil Uzi Vert),spotify:track:4JdtcbuALyHUZnYfa8LQwo,180869,True,Pink Friday 2 (Gag City Deluxe),49
4,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Needle (feat. Drake),spotify:track:4I4G0LD277PWvfblYtSf91,235689,True,Pink Friday 2,72
